user_id,email,password_hash,email_verified,account_status,two_factor_enabled,created_at,updated_at,last_login,login_attempts,locked_until
550e8400-e29b-41d4-a716-446655440001,john.doe@email.com,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBdXfs2opQYexa,true,active,false,2024-01-15 10:30:00,2024-10-12 08:45:00,2024-10-12 08:45:00,0,NULL
550e8400-e29b-41d4-a716-446655440002,jane.smith@email.com,$2b$12$KPw4d2zrCXWIylf1MIBbBPY0w7UuyNRLscGH6VzxDfZqr1pRZYdyi,true,active,true,2024-01-18 14:20:00,2024-10-12 09:15:00,2024-10-12 09:15:00,0,NULL
550e8400-e29b-41d4-a716-446655440003,mike.johnson@email.com,$2b$12$NPx5e3AsrYXJzmg2NIChCQZ1x8VvzOSmtIH7WyywEgAsa2qSaZeab,true,active,false,2024-01-22 09:10:00,2024-10-11 16:30:00,2024-10-11 16:30:00,0,NULL
550e8400-e29b-41d4-a716-446655440004,sarah.williams@email.com,$2b$12$OQy6f4BtsZYKznm3OJDiDRa2y9WwwPTnuJI8XzzzFhBtb3rTbZfcd,true,active,false,2024-02-01 11:45:00,2024-10-12 07:20:00,2024-10-12 07:20:00,0,NULL
550e8400-e29b-41d4-a716-446655440005,david.brown@email.com,$2b$12$PRz7g5CuuaZLzao4PKEjERb3z0XXxQUovKJ9YA001GCtc4sTcZgef,true,active,true,2024-02-05 16:00:00,2024-10-11 19:10:00,2024-10-11 19:10:00,0,NULL
550e8400-e29b-41d4-a716-446655440006,lisa.davis@email.com,$2b$12$QSa8h6DvvbaMabp5QLFkFSc4a1YYyRVpwLK0ZB112HEud5uUdaghi,true,active,false,2024-02-10 13:30:00,2024-10-12 06:45:00,2024-10-12 06:45:00,0,NULL
550e8400-e29b-41d4-a716-446655440007,robert.wilson@email.com,$2b$12$RTb9i7EwwcbNbcq6RMGlGTd5b2ZZzSWqxML1aC223IFve6vVebfkj,true,active,false,2024-02-15 08:15:00,2024-10-11 22:30:00,2024-10-11 22:30:00,0,NULL
550e8400-e29b-41d4-a716-446655440008,jennifer.garcia@email.com,$2b$12$SUc0j8FxxdcOcdq7SNHmHTe6c3a0aTXryNM2bD334JGwf7wWfcglk,true,active,true,2024-02-20 12:00:00,2024-10-12 10:15:00,2024-10-12 10:15:00,0,NULL
550e8400-e29b-41d4-a716-446655440009,christopher.miller@email.com,$2b$12$TVd1k9GyyedPder8TOIoIUf7d4b1bUYszON3cE445KHxg8xXgdhmm,true,active,false,2024-02-25 15:45:00,2024-10-11 20:45:00,2024-10-11 20:45:00,0,NULL
550e8400-e29b-41d4-a716-446655440010,amanda.rodriguez@email.com,$2b$12$UWe2l0HzzfeQefr9UPJpJVg8e5c2cVZutPO4dF556LIyh9yYhednn,true,active,false,2024-03-01 10:20:00,2024-10-12 08:00:00,2024-10-12 08:00:00,0,NULL
550e8400-e29b-41d4-a716-446655440011,matthew.martinez@email.com,$2b$12$VXf3m1IaagfRfgs0VQKqKWh9f6d3dWavuQP5eG667MJzi0zZifgoo,true,active,true,2024-03-05 14:10:00,2024-10-11 17:25:00,2024-10-11 17:25:00,0,NULL
550e8400-e29b-41d4-a716-446655440012,elizabeth.anderson@email.com,$2b$12$WYg4n2JbbhgSghy1WRLrLXi0g7e4eXbwvRP6fH778NKaj1a0jghpp,true,active,false,2024-03-10 09:30:00,2024-10-12 11:40:00,2024-10-12 11:40:00,0,NULL
550e8400-e29b-41d4-a716-446655440013,joshua.taylor@email.com,$2b$12$XZh5o3KcchhtIz2XSMssMYj1h8f5fYcxwSQ7gI889OLbk2b1kihqq,true,active,false,2024-03-15 11:15:00,2024-10-11 21:15:00,2024-10-11 21:15:00,0,NULL
550e8400-e29b-41d4-a716-446655440014,ashley.thomas@email.com,$2b$12$Yai6p4LddiujJ03YTNttNZk2i9g6gZdyxTR8hJ900PMck3c2ljirr,true,active,true,2024-03-20 16:45:00,2024-10-12 09:50:00,2024-10-12 09:50:00,0,NULL
550e8400-e29b-41d4-a716-446655440015,daniel.jackson@email.com,$2b$12$Zbj7q5MeejvkK14ZUOuuOal3j0h7haeyzUS9iK011QNdl4d3mkjss,true,active,false,2024-03-25 13:20:00,2024-10-11 18:35:00,2024-10-11 18:35:00,0,NULL
550e8400-e29b-41d4-a716-446655440016,stephanie.white@email.com,$2b$12$ack8r6NffkwlL25aVPvvPbm4k1i8iafzaVT0jL122ROfm5e4nkjtu,true,active,false,2024-04-01 08:45:00,2024-10-12 07:55:00,2024-10-12 07:55:00,0,NULL
550e8400-e29b-41d4-a716-446655440017,ryan.harris@email.com,$2b$12$bdl9s7OgglxmM36bWQwwQcn5l2j9jbg0bWU1kM233SPgn6f5okjuv,true,active,true,2024-04-05 12:30:00,2024-10-11 22:05:00,2024-10-11 22:05:00,0,NULL
550e8400-e29b-41d4-a716-446655440018,nicole.clark@email.com,$2b$12$cem0t8Phhmw$n47cXRxxRdo6m3k0kcg1cXV2lN344TQho7g6pkkwx,true,active,false,2024-04-10 15:10:00,2024-10-12 10:30:00,2024-10-12 10:30:00,0,NULL
550e8400-e29b-41d4-a716-446655440019,kevin.lewis@email.com,$2b$12$dfn1u9QiinxnO58dYSyySeq7n4l1ldh2dYW3mO455URip8h7qklxy,true,active,false,2024-04-15 10:55:00,2024-10-11 19:45:00,2024-10-11 19:45:00,0,NULL
550e8400-e29b-41d4-a716-446655440020,michelle.robinson@email.com,$2b$12$ego2v0RjjoypP69eZTzzTfr8o5m2meh3eZX4nP566VSjq9i8rkmyz,true,active,true,2024-04-20 14:40:00,2024-10-12 08:20:00,2024-10-12 08:20:00,0,NULL
